student_id,course_id,assignment_id,due_date,submitted_at,score,max_score
STU-1001,DATA-101,DATA-101-A01,2026-01-30 23:59:00,2026-01-30 19:59:00,-15.0,100.0
STU-1001,DATA-101,DATA-101-A02,2026-02-13 23:59:00,2026-02-14 12:59:00,150.0,100.0
STU-1001,DATA-101,DATA-101-A03,2026-02-27 23:59:00,2026-02-26 12:59:00,52.8,100.0
STU-1001,DATA-101,DATA-101-A04,2026-03-13 23:59:00,,,100.0
STU-1001,CS-204,CS-204-A01,2026-01-30 23:59:00,,,100.0
STU-1001,CS-204,CS-204-A02,2026-02-13 23:59:00,,,100.0
STU-1001,CS-204,CS-204-A03,2026-02-27 23:59:00,2026-02-27 21:59:00,42.2,100.0
STU-1001,CS-204,CS-204-A04,2026-03-13 23:59:00,2026-03-13 14:59:00,64.0,100.0
STU-1001,STAT-301,STAT-301-A01,2026-09-11 23:59:00,2026-09-11 10:59:00,51.5,100.0
STU-1001,STAT-301,STAT-301-A02,2026-09-25 23:59:00,,,100.0
STU-1001,STAT-301,STAT-301-A03,2026-10-09 23:59:00,2026-10-08 14:59:00,39.4,100.0
STU-1001,STAT-301,STAT-301-A04,2026-10-23 23:59:00,,,100.0
STU-1002,STAT-301,STAT-301-A01,2026-01-30 23:59:00,2026-01-29 21:59:00,86.3,100.0
STU-1002,STAT-301,STAT-301-A02,2026-02-13 23:59:00,2026-02-12 01:59:00,87.1,100.0
STU-1002,STAT-301,STAT-301-A03,2026-02-27 23:59:00,2026-02-27 07:59:00,91.8,100.0
STU-1002,STAT-301,STAT-301-A04,2026-03-13 23:59:00,2026-03-12 13:59:00,89.9,100.0
STU-1002,DATA-101,DATA-101-A01,2026-09-11 23:59:00,2026-09-11 09:59:00,88.4,100.0
STU-1002,DATA-101,DATA-101-A02,2026-09-25 23:59:00,2026-09-25 19:59:00,99.9,100.0
STU-1002,DATA-101,DATA-101-A03,2026-10-09 23:59:00,2026-10-08 07:59:00,93.1,100.0
STU-1002,DATA-101,DATA-101-A04,2026-10-23 23:59:00,2026-10-22 19:59:00,94.3,100.0
STU-1002,CS-204,CS-204-A01,2026-09-11 23:59:00,2026-09-10 19:59:00,94.4,100.0
STU-1002,CS-204,CS-204-A02,2026-09-25 23:59:00,2026-09-24 21:59:00,89.4,100.0
STU-1002,CS-204,CS-204-A03,2026-10-09 23:59:00,2026-10-08 07:59:00,95.5,100.0
STU-1002,CS-204,CS-204-A04,2026-10-23 23:59:00,2026-10-22 07:59:00,91.6,100.0
STU-1003,DATA-101,DATA-101-A01,2026-01-30 23:59:00,2026-01-30 01:59:00,100.0,100.0
STU-1003,DATA-101,DATA-101-A02,2026-02-13 23:59:00,2026-02-13 09:59:00,93.9,100.0
STU-1003,DATA-101,DATA-101-A03,2026-02-27 23:59:00,2026-02-27 12:59:00,89.8,100.0
STU-1003,DATA-101,DATA-101-A04,2026-03-13 23:59:00,2026-03-13 20:59:00,97.3,100.0
STU-1003,STAT-301,STAT-301-A01,2026-01-30 23:59:00,2026-01-30 01:59:00,86.2,100.0
STU-1003,STAT-301,STAT-301-A02,2026-02-13 23:59:00,2026-02-12 11:59:00,88.7,100.0
STU-1003,STAT-301,STAT-301-A03,2026-02-27 23:59:00,2026-02-26 06:59:00,94.8,100.0
STU-1003,STAT-301,STAT-301-A04,2026-03-13 23:59:00,2026-03-12 03:59:00,97.0,100.0
STU-1003,CS-204,CS-204-A01,2026-01-30 23:59:00,2026-01-29 09:59:00,92.8,100.0
STU-1003,CS-204,CS-204-A02,2026-02-13 23:59:00,2026-02-12 11:59:00,88.1,100.0
STU-1003,CS-204,CS-204-A03,2026-02-27 23:59:00,2026-02-27 19:59:00,91.1,100.0
STU-1003,CS-204,CS-204-A04,2026-03-13 23:59:00,2026-03-12 20:59:00,92.2,100.0
STU-1004,DATA-101,DATA-101-A01,2026-09-11 23:59:00,2026-09-11 14:59:00,70.9,100.0
STU-1004,DATA-101,DATA-101-A02,2026-09-25 23:59:00,2026-09-25 17:59:00,87.6,100.0
STU-1004,DATA-101,DATA-101-A03,2026-10-09 23:59:00,2026-10-08 06:59:00,81.9,100.0
STU-1004,DATA-101,DATA-101-A04,2026-10-23 23:59:00,2026-10-23 21:59:00,79.6,100.0
STU-1004,STAT-301,STAT-301-A01,2026-01-30 23:59:00,2026-01-28 23:59:00,92.5,100.0
STU-1004,STAT-301,STAT-301-A02,2026-02-13 23:59:00,2026-02-13 02:59:00,78.3,100.0
STU-1004,STAT-301,STAT-301-A03,2026-02-27 23:59:00,2026-02-26 10:59:00,82.5,100.0
STU-1004,STAT-301,STAT-301-A04,2026-03-13 23:59:00,2026-03-12 14:59:00,87.7,100.0
STU-1005,MATH-150,MATH-150-A01,2026-09-11 23:59:00,2026-09-10 03:59:00,83.5,100.0
STU-1005,MATH-150,MATH-150-A02,2026-09-25 23:59:00,2026-09-24 23:59:00,76.1,100.0
STU-1005,MATH-150,MATH-150-A03,2026-10-09 23:59:00,2026-10-09 09:59:00,75.4,100.0
STU-1005,MATH-150,MATH-150-A04,2026-10-23 23:59:00,2026-10-26 15:59:00,91.5,100.0
STU-1005,DATA-101,DATA-101-A01,2026-01-30 23:59:00,2026-01-30 21:59:00,93.0,100.0
STU-1005,DATA-101,DATA-101-A02,2026-02-13 23:59:00,2026-02-13 02:59:00,87.9,100.0
