student_id,course_id,term,risk_score,risk_level,reasons_json,calculated_at
STU-1001,DATA-101,Fall 2026,0,Low,[],2026-09-01T05:00:00.178079+00:00
STU-1002,DATA-101,Fall 2026,0,Low,[],2026-09-01T05:00:00.178135+00:00
STU-1003,DATA-101,Fall 2026,0,Low,[],2026-09-01T05:00:00.178173+00:00
STU-1004,DATA-101,Fall 2026,0,Low,[],2026-09-01T05:00:00.178207+00:00
STU-1005,DATA-101,Fall 2026,0,Low,[],2026-09-01T05:00:00.178244+00:00
STU-1006,DATA-101,Fall 2026,0,Low,[],2026-09-01T05:00:00.178273+00:00
STU-1007,DATA-101,Fall 2026,0,Low,[],2026-09-01T05:00:00.178300+00:00
STU-1008,DATA-101,Fall 2026,0,Low,[],2026-09-01T05:00:00.178324+00:00
STU-1009,DATA-101,Fall 2026,0,Low,[],2026-09-01T05:00:00.178356+00:00
STU-1010,DATA-101,Fall 2026,0,Low,[],2026-09-01T05:00:00.178385+00:00
STU-1011,CS-204,Fall 2026,0,Low,[],2026-09-01T05:00:00.178408+00:00
STU-1012,CS-204,Fall 2026,0,Low,[],2026-09-01T05:00:00.178430+00:00
STU-1013,CS-204,Fall 2026,0,Low,[],2026-09-01T05:00:00.178452+00:00
STU-1014,CS-204,Fall 2026,0,Low,[],2026-09-01T05:00:00.178475+00:00
STU-1015,CS-204,Fall 2026,0,Low,[],2026-09-01T05:00:00.178497+00:00
STU-1016,CS-204,Fall 2026,0,Low,[],2026-09-01T05:00:00.178519+00:00
STU-1017,CS-204,Fall 2026,0,Low,[],2026-09-01T05:00:00.178541+00:00
STU-1018,CS-204,Fall 2026,0,Low,[],2026-09-01T05:00:00.178563+00:00
STU-1019,CS-204,Fall 2026,0,Low,[],2026-09-01T05:00:00.178586+00:00
STU-1020,CS-204,Fall 2026,0,Low,[],2026-09-01T05:00:00.178608+00:00
STU-1021,STAT-301,Fall 2026,0,Low,[],2026-09-01T05:00:00.178630+00:00
STU-1022,STAT-301,Fall 2026,2,Low,"[{""code"": ""RECENT_ATTENDANCE_DROP"", ""label"": ""Recent attendance decline (>=15% drop)"", ""points"": 2, ""description"": ""Recent 14-day attendance (66.7%) dropped by 18.3 percentage points.""}]",2026-09-01T05:00:00.178661+00:00
STU-1023,STAT-301,Fall 2026,0,Low,[],2026-09-01T05:00:00.178685+00:00
STU-1024,STAT-301,Fall 2026,0,Low,[],2026-09-01T05:00:00.178707+00:00
